PKLT_CD,PKLT_NM,ADDR,PKLT_TYPE,PRK_TYPE_NM,OPER_SE,OPER_SE_NM,TELNO,PRK_STTS_YN,PRK_STTS_NM,TPKCT,NOW_PRK_VHCL_CNT,NOW_PRK_VHCL_UPDT_TM,PAY_YN,PAY_YN_NM,NGHT_PAY_YN,NGHT_PAY_YN_NM,WD_OPER_BGNG_TM,WD_OPER_END_TM,WE_OPER_BGNG_TM,WE_OPER_END_TM,LHLDY_OPER_BGNG_TM,LHLDY_OPER_END_TM,SAT_CHGD_FREE_SE,SAT_CHGD_FREE_NM,LHLDY_CHGD_FREE_SE,LHLDY_CHGD_FREE_SE_NAME,PRD_AMT,STRT_PKLT_MNG_NO,BSC_PRK_CRG,BSC_PRK_HR,ADD_PRK_CRG,ADD_PRK_HR,BUS_BSC_PRK_CRG,BUS_BSC_PRK_HR,BUS_ADD_PRK_HR,BUS_ADD_PRK_CRG,DAY_MAX_CRG,SHRN_PKLT_MNG_NM,SHRN_PKLT_MNG_URL,SHRN_PKLT_YN,SHRN_PKLT_ETC
1496216,압구정고가1 공영주차장(시),강남구 신사동 668-0,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,2.0,2025-06-02 16:56:38,Y,유료,N,야간 미개방,0800,2100,0900,2100,0900,2100,N,무료,N,무료,0,1168010700019,500.0,5.0,500.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1496233,동호대교(남) 공영주차장(시),강남구 압구정동 435-0,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,16.0,2025-06-02 16:56:39,Y,유료,N,야간 미개방,0900,1900,0900,1900,0000,0000,N,무료,Y,유료,70000,1168011000004,170.0,5.0,170.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1496373,압구정고가2 공영주차장(시),강남구 신사동 668-0,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,3.0,2025-06-02 16:56:39,Y,유료,N,야간 미개방,0900,2000,0900,2100,0900,2100,N,무료,N,무료,0,1168010700062,500.0,5.0,500.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1499707,대림역2 공영주차장(시),구로구 구로동 73-9,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,19.0,2025-06-02 16:56:36,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1153010200069,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1499736,제방도로 공영주차장(시),구로구 구로동 69-5,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1.0,0.0,2024-02-20 18:29:07,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1153010200044,120.0,5.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1504809,방화로 공영주차장(시),강서구 공항동 796-0,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1.0,0.0,,Y,유료,N,야간 미개방,0900,1800,0000,0000,0000,0000,Y,유료,Y,유료,0,1150010800001,120.0,5.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1509662,청계5(동호로_남) 공영주차장(시),중구 방산동 4-47 0,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,3.0,2025-06-02 16:56:34,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1114015300214,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1509853,청계3(창경궁로_남) 공영주차장(시),중구 주교동 123-1 0,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,8.0,2025-06-02 16:56:33,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1114015200210,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1509989,성산로 관광버스 주차허용 구간(시),마포구 성산동 117-1,NS,노상 주차장,4,버스전용 주차장,02)2133-2357,0,미연계중,1.0,0.0,,N,무료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,0,1144012500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1510016,청계5(남) 공영주차장(시),중구 을지로6가 17-442 0,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1.0,0.0,2024-10-15 13:06:15,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1114014800218,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1510063,청계5가 공영주차장(시),중구 을지로6가 17-442 0,NS,노상 주차장,1,시간제 주차장,02-2265-3531,0,미연계중,1.0,0.0,2024-10-15 13:06:22,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1114014800220,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
